Designator,Mid X,Mid Y,Rotation,Layer
C1,83.693,-84.455,90.0,bottom
C10,83.693,-96.266,-90.0,bottom
C11,84.709,-84.455,90.0,bottom
C2,84.836,-96.266,-90.0,bottom
C3,92.202,-91.567,0.0,bottom
C4,80.772,-91.567,180.0,bottom
C5,80.772,-87.503,180.0,bottom
C6,92.202,-87.503,0.0,bottom
C7,82.677,-84.455,90.0,bottom
C8,86.36,-84.455,90.0,bottom
C9,87.376,-84.455,90.0,bottom
CF1,83.058,-73.914,90.0,bottom
CP0,50.5067,-90.19875,90.0,bottom
CP1,45.7445,-90.19875,-90.0,bottom
D1,35.71875,-83.34375,90.0,bottom
D10,207.16875,-83.34375,90.0,bottom
D11,226.21875,-83.34375,90.0,bottom
D12,245.26875,-83.34375,90.0,bottom
D13,264.31875,-83.34375,90.0,bottom
D14,283.36875,-83.34375,90.0,bottom
D15,302.41875,-83.34375,90.0,bottom
D16,321.46875,-83.34375,90.0,bottom
D17,35.71875,-102.39375,90.0,bottom
D18,54.76875,-102.39375,90.0,bottom
D19,73.81875,-102.39375,90.0,bottom
D2,54.76875,-83.34375,90.0,bottom
D20,92.86875,-102.39375,90.0,bottom
D21,111.91875,-102.39375,90.0,bottom
D22,130.96875,-102.39375,90.0,bottom
D23,150.01875,-102.39375,90.0,bottom
D24,169.06875,-102.39375,90.0,bottom
D25,188.11875,-102.33125,90.0,bottom
D26,207.16875,-102.40625,90.0,bottom
D27,226.21875,-102.39375,90.0,bottom
D28,245.26875,-102.39375,90.0,bottom
D29,264.31875,-102.39375,90.0,bottom
D3,73.81875,-83.34375,90.0,bottom
D30,283.36875,-102.39375,90.0,bottom
D31,302.41875,-102.39375,90.0,bottom
D32,321.46875,-102.39375,90.0,bottom
D33,35.71875,-121.44375,90.0,bottom
D34,54.76875,-121.44375,90.0,bottom
D35,73.81875,-121.44375,90.0,bottom
D36,92.86875,-121.44375,90.0,bottom
D37,111.91875,-121.44375,90.0,bottom
D38,130.96875,-121.44375,90.0,bottom
D39,150.01875,-121.44375,90.0,bottom
D4,92.86875,-83.34375,90.0,bottom
D40,169.06875,-121.44375,90.0,bottom
D41,188.11875,-121.44375,90.0,bottom
D42,207.16875,-121.44375,90.0,bottom
D43,226.21875,-121.44375,90.0,bottom
D44,245.26875,-121.44375,90.0,bottom
D45,264.31875,-121.44375,90.0,bottom
D46,283.36875,-121.44375,90.0,bottom
D47,302.41875,-121.44375,90.0,bottom
D48,321.46875,-121.44375,90.0,bottom
D49,35.71875,-140.49375,90.0,bottom
D5,111.91875,-83.34375,90.0,bottom
D50,54.76875,-140.49375,90.0,bottom
D51,73.81875,-140.49375,90.0,bottom
D52,92.86875,-140.49375,90.0,bottom
D53,111.91875,-140.49375,90.0,bottom
D54,130.96875,-140.49375,90.0,bottom
D55,150.01875,-140.49375,90.0,bottom
D56,169.06875,-140.49375,90.0,bottom
D57,188.11875,-140.49375,90.0,bottom
D58,207.16875,-140.49375,90.0,bottom
D59,226.21875,-140.49375,90.0,bottom
D6,130.96875,-83.34375,90.0,bottom
D60,245.26875,-140.49375,90.0,bottom
D61,264.31875,-140.49375,90.0,bottom
D62,283.36875,-140.49375,90.0,bottom
D63,302.41875,-140.49375,90.0,bottom
D64,321.46875,-140.49375,90.0,bottom
D7,150.01875,-83.34375,90.0,bottom
D8,169.06875,-83.34375,90.0,bottom
D9,188.11875,-83.34375,90.0,bottom
F0,51.308,-81.28,-90.0,bottom
J0,47.625,-74.9554,0.0,bottom
J1,32.95475,-88.607,90.0,bottom
J2,33.05,-108.8,90.0,bottom
K1,38.89375,-80.9625,0.0,top
K10,210.34375,-80.9625,0.0,top
K11,229.39375,-80.9625,0.0,top
K12,248.44375,-80.9625,0.0,top
K13,267.49375,-80.9625,0.0,top
K14,286.54375,-80.9625,0.0,top
K15,305.59375,-80.9625,0.0,top
K16,324.64375,-80.9625,0.0,top
K17,38.89375,-100.0125,0.0,top
K18,57.94375,-100.0125,0.0,top
K19,76.99375,-100.0125,0.0,top
K2,57.94375,-80.9625,0.0,top
K20,96.04375,-100.0125,0.0,top
K21,115.09375,-100.0125,0.0,top
K22,134.14375,-100.0125,0.0,top
K23,153.19375,-100.0125,0.0,top
K24,172.24375,-100.0125,0.0,top
K25,191.29375,-100.0125,0.0,top
K26,210.34375,-100.0125,0.0,top
K27,229.39375,-100.0125,0.0,top
K28,248.44375,-100.0125,0.0,top
K29,267.49375,-100.0125,0.0,top
K3,76.99375,-80.9498,0.0,top
K30,286.54375,-100.0125,0.0,top
K31,305.59375,-100.0125,0.0,top
K32,324.64375,-100.0125,0.0,top
K33,38.89375,-119.0625,0.0,top
K34,57.94375,-119.0625,0.0,top
K35,76.99375,-119.0625,0.0,top
K36,96.04375,-119.0625,0.0,top
K37,115.09375,-119.0625,0.0,top
K38,134.14375,-119.0625,0.0,top
K39,153.19375,-119.0625,0.0,top
K4,96.04375,-80.9625,0.0,top
K40,172.24375,-119.0625,0.0,top
K41,191.29375,-119.0625,0.0,top
K42,210.34375,-119.0625,0.0,top
K43,229.39375,-119.0625,0.0,top
K44,248.44375,-119.0625,0.0,top
K45,267.49375,-119.0625,0.0,top
K46,286.54375,-119.0625,0.0,top
K47,305.59375,-119.0625,0.0,top
K48,324.64375,-119.0625,0.0,top
K49,38.89375,-138.1125,0.0,top
K5,115.09375,-80.9625,0.0,top
K50,57.94375,-138.1125,0.0,top
K51,76.99375,-138.1125,0.0,top
K52,96.04375,-138.1125,0.0,top
K53,115.09375,-138.1125,0.0,top
K54,134.14375,-138.1125,0.0,top
K54.1,143.66875,-138.1125,0.0,top
K55,153.19375,-138.1125,0.0,top
K56,172.24375,-138.1125,0.0,top
K57,191.29375,-138.1125,0.0,top
K58,210.34375,-138.1125,0.0,top
K58.1,219.86875,-138.1125,0.0,top
K59,229.39375,-138.1125,0.0,top
K6,134.14375,-80.9625,0.0,top
K60,248.44375,-138.1125,0.0,top
K61,267.49375,-138.1125,0.0,top
K62,286.54375,-138.1125,0.0,top
K63,305.59375,-138.1125,0.0,top
K64,324.64375,-138.1125,0.0,top
K7,153.19375,-80.9625,0.0,top
K8,172.24375,-80.9625,0.0,top
K9,191.29375,-80.9625,0.0,top
LC1,48.507475,-107.696,180.0,bottom
LC10,125.842275,-107.696,180.0,bottom
LC11,134.4455,-107.696,180.0,bottom
LC12,143.048725,-107.696,180.0,bottom
LC13,151.65195,-107.696,180.0,bottom
LC14,160.255175,-107.696,180.0,bottom
LC15,168.8584,-107.696,180.0,bottom
LC16,177.461625,-107.696,180.0,bottom
LC17,186.06485,-107.696,180.0,bottom
LC18,194.668075,-107.696,180.0,bottom
LC19,203.2713,-107.696,180.0,bottom
LC2,57.016475,-107.696,180.0,bottom
LC20,211.874525,-107.696,180.0,bottom
LC21,220.465475,-107.696,180.0,bottom
LC22,229.080975,-107.696,180.0,bottom
LC23,237.6842,-107.696,180.0,bottom
LC24,246.287425,-107.696,180.0,bottom
LC25,254.856275,-107.696,180.0,bottom
LC26,263.493875,-107.696,180.0,bottom
LC27,272.0971,-107.696,180.0,bottom
LC28,280.700325,-107.696,180.0,bottom
LC29,289.30355,-107.696,180.0,bottom
LC3,65.6197,-107.696,180.0,bottom
LC30,297.8349,-107.696,180.0,bottom
LC31,306.51,-107.696,180.0,bottom
LC32,315.113225,-107.696,180.0,bottom
LC4,74.222925,-107.696,180.0,bottom
LC5,82.82615,-107.696,180.0,bottom
LC6,91.429375,-107.696,180.0,bottom
LC7,100.0326,-107.696,180.0,bottom
LC8,108.635825,-107.696,180.0,bottom
LC9,117.23905,-107.696,180.0,bottom
LD1,48.41875,-109.5375,0.0,bottom
LD10,125.847775,-109.5375,0.0,bottom
LD11,134.451,-109.5375,0.0,bottom
LD12,143.054225,-109.5375,0.0,bottom
LD13,151.65745,-109.5375,0.0,bottom
LD14,160.260675,-109.5375,0.0,bottom
LD15,168.8639,-109.5375,0.0,bottom
LD16,177.467125,-109.5375,0.0,bottom
LD17,186.07035,-109.5375,0.0,bottom
LD18,194.673575,-109.5375,0.0,bottom
LD19,203.2768,-109.5375,0.0,bottom
LD2,57.021975,-109.5375,0.0,bottom
LD20,211.880025,-109.5375,0.0,bottom
LD21,220.48325,-109.5375,0.0,bottom
LD22,229.086475,-109.5375,0.0,bottom
LD23,237.6897,-109.5375,0.0,bottom
LD24,246.292925,-109.5375,0.0,bottom
LD25,254.930525,-109.5375,0.0,bottom
LD26,263.499375,-109.5375,0.0,bottom
LD27,272.1026,-109.5375,0.0,bottom
LD28,280.705825,-109.5375,0.0,bottom
LD29,289.30905,-109.5375,0.0,bottom
LD3,65.6252,-109.5375,0.0,bottom
LD30,297.98415,-109.5375,0.0,bottom
LD31,306.5155,-109.5375,0.0,bottom
LD32,315.118725,-109.5375,0.0,bottom
LD4,74.228425,-109.5375,0.0,bottom
LD5,82.83165,-109.5375,0.0,bottom
LD6,91.434875,-109.5375,0.0,bottom
LD7,100.0381,-109.5375,0.0,bottom
LD8,108.641325,-109.5375,0.0,bottom
LD9,117.24455,-109.5375,0.0,bottom
RC1,45.593,-81.28,-90.0,bottom
RC2,50.292,-81.28,90.0,bottom
RD0,85.09,-82.296,-90.0,bottom
RD1,86.106,-82.296,-90.0,bottom
RF2,81.975,-73.914,90.0,bottom
RR1,102.108,-94.234,90.0,bottom
RX1,86.36,-96.266,180.0,bottom
S1,105.5621,-96.8314,90.0,bottom
TX0,86.868,-128.016,0.0,bottom
TX1,50.292,-128.016,180.0,bottom
U0,86.487,-90.4875,180.0,bottom
U1,48.133,-89.408,0.0,bottom
U2,47.879,-82.423,90.0,bottom
U3,87.0,-76.9889,180.0,bottom
Y0,86.768,-98.479,180.0,bottom
