Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,Passive_0402_1005Metric,491.617,-159.258,180.0,bottom
C2,1uf,Passive_0402_1005Metric,493.649,-147.447,90.0,bottom
C3,100nF,Passive_0402_1005Metric,491.617,-160.274,180.0,bottom
C4,100nF,Passive_0402_1005Metric,487.553,-150.495,180.0,bottom
C5,100nF,Passive_0402_1005Metric,488.95,-147.828,90.0,bottom
C6,100nF,Passive_0402_1005Metric,489.966,-147.828,90.0,bottom
C7,100nF,Passive_0402_1005Metric,491.617,-147.828,90.0,bottom
C8,100nF,Passive_0402_1005Metric,492.633,-147.828,90.0,bottom
C9,100nF,Passive_0402_1005Metric,499.468,-154.94,0.0,bottom
C10,1uf,Passive_0402_1005Metric,498.348,-150.495,0.0,bottom
C11,10uf,Passive_0402_1005Metric,486.5125,-154.94,180.0,bottom
CF1,100nF,Passive_0402_1005Metric,502.158,-137.287,180.0,bottom
CP1,100nF,Passive_0402_1005Metric,474.345,-132.969,-90.0,bottom
CP2,22uf,Passive_0402_1005Metric,480.187,-130.2766,-90.0,bottom
CP3,22uf,Passive_0402_1005Metric,481.33,-130.2766,-90.0,bottom
CP4,22uf,Passive_0402_1005Metric,482.473,-130.2766,-90.0,bottom
CP5,22uf,Passive_0402_1005Metric,483.616,-130.2766,-90.0,bottom
CP6,22uf,Passive_0402_1005Metric,480.187,-132.4356,90.0,bottom
CP7,22uf,Passive_0402_1005Metric,481.33,-132.4356,90.0,bottom
CP8,22uf,Passive_0402_1005Metric,482.473,-132.4356,90.0,bottom
CP9,22uf,Passive_0402_1005Metric,483.616,-132.4356,90.0,bottom
CP10,22uf,Passive_0402_1005Metric,460.248,-130.175,90.0,bottom
CP11,22uf,Passive_0402_1005Metric,459.105,-130.175,90.0,bottom
CP12,22uf,Passive_0402_1005Metric,457.962,-130.175,90.0,bottom
CP13,22uf,Passive_0402_1005Metric,456.819,-130.175,90.0,bottom
CP14,22uf,Passive_0402_1005Metric,460.248,-132.334,-90.0,bottom
CP15,22uf,Passive_0402_1005Metric,459.105,-132.334,-90.0,bottom
CP16,22uf,Passive_0402_1005Metric,457.962,-132.334,-90.0,bottom
CP17,22uf,Passive_0402_1005Metric,456.819,-132.334,-90.0,bottom
CX1,100nF,Passive_0402_1005Metric,491.617,-161.29,180.0,bottom
CX2,100nF,Passive_0402_1005Metric,494.157,-161.29,180.0,bottom
D1,SOD-523,D_SOD-523,115.09375,-148.43125,-90.0,bottom
D2,SOD-523,D_SOD-523,153.19375,-129.38125,-90.0,bottom
D3,SOD-523,D_SOD-523,172.24375,-129.38125,-90.0,bottom
D4,SOD-523,D_SOD-523,191.29375,-129.38125,-90.0,bottom
D5,SOD-523,D_SOD-523,210.34375,-129.38125,-90.0,bottom
